"player","svc_matches","svc_aces_per_game","svc_dfs_per_game","svc_ace_to_df_ratio","svc_first_serve_pct","svc_first_serve_win_pct","svc_second_serve_win_pct","svc_service_pts_win_pct","svc_bp_save_pct","svc_hold_pct","tour","window","surface","ret_matches","ret_opp_aces_per_game","ret_opp_dfs_per_game","ret_opp_first_serve_pct","ret_first_return_win_pct","ret_second_return_win_pct","ret_return_pts_win_pct","ret_bp_win_pct","ret_opp_hold_pct"
"198209",11,0.23893805309734514,0.21238938053097345,1.125,0.6283891547049442,0.6192893401015228,0.4248927038626609,0.5470494417862839,0.525,0.6637168141592921,"WTA","2026 ytd","hard",11,0.1724137931034483,0.20689655172413793,0.6766917293233082,0.4688888888888889,0.6,0.5112781954887218,0.4778761061946903,0.5344827586206896
"198254",2,0.5384615384615384,0.2692307692307692,2,0.7142857142857143,0.6461538461538462,0.40384615384615385,0.5769230769230769,0.6666666666666666,0.6538461538461539,"WTA","2026 ytd","hard",2,0.2222222222222222,0.2962962962962963,0.6454545454545455,0.3802816901408451,0.5641025641025641,0.44545454545454544,0.21621621621621623,0.7037037037037037
"199408",6,0.2222222222222222,0.2962962962962963,0.75,0.6990881458966566,0.6391304347826087,0.5656565656565656,0.6170212765957447,0.5405405405405406,0.6851851851851852,"WTA","2026 ytd","hard",6,0.2727272727272727,0.3090909090909091,0.6656151419558359,0.3459715639810427,0.46226415094339623,0.3848580441640379,0.40425531914893614,0.6545454545454545
"199509",10,0.1262135922330097,0.44660194174757284,0.2826086956521739,0.6787878787878788,0.6004464285714286,0.38207547169811323,0.5303030303030303,0.4875,0.6019417475728155,"WTA","2026 ytd","hard",10,0.11764705882352941,0.4411764705882353,0.7326589595375722,0.42998027613412226,0.6162162162162161,0.47976878612716767,0.4777777777777778,0.5784313725490197
"199790",7,0.3246753246753247,0.18181818181818182,1.7857142857142858,0.6774193548387096,0.5938375350140056,0.4823529411764706,0.5578747628083491,0.5972222222222222,0.6233766233766234,"WTA","2026 ytd","hard",7,0.23076923076923078,0.358974358974359,0.653179190751445,0.3775811209439528,0.5611111111111111,0.441233140655106,0.4827586206896552,0.6410256410256411
"200757",3,0.09090909090909091,0.18181818181818182,0.5,0.6519607843137255,0.45864661654135336,0.5070422535211268,0.47549019607843135,0.4666666666666667,0.5151515151515151,"WTA","2026 ytd","hard",3,0.21875,0.40625,0.6269430051813472,0.44628099173553715,0.48611111111111116,0.46113989637305697,0.36,0.71875
"201729",1,0.1111111111111111,0.1111111111111111,1,0.6764705882352942,0.41304347826086957,0.36363636363636365,0.39705882352941174,0.46153846153846156,0.2222222222222222,"WTA","2026 ytd","hard",1,0,0.5555555555555556,0.78125,0.42000000000000004,0.6428571428571428,0.46875,0.36363636363636365,0.5555555555555556
"201870",3,0.7333333333333333,0.13333333333333333,5.5,0.6363636363636364,0.7472527472527473,0.6346153846153846,0.7062937062937062,0.4444444444444444,0.8333333333333334,"WTA","2026 ytd","hard",3,0,0.10344827586206896,0.6386138613861386,0.4108527131782945,0.4794520547945206,0.4356435643564357,0.3333333333333333,0.7241379310344828
"206617",13,0.15384615384615385,0.17692307692307693,0.8695652173913043,0.7009569377990431,0.6484641638225256,0.456,0.5909090909090909,0.5543478260869565,0.6846153846153846,"WTA","2026 ytd","hard",13,0.17829457364341086,0.2868217054263566,0.6710526315789473,0.3970588235294118,0.6,0.4638157894736842,0.4094488188976378,0.5968992248062015
"207065",2,0.05555555555555555,0.1111111111111111,0.5,0.792,0.5959595959595959,0.5384615384615384,0.584,0.45454545454545453,0.6666666666666666,"WTA","2026 ytd","hard",2,0.3333333333333333,0.05555555555555555,0.6111111111111112,0.31818181818181823,0.5,0.38888888888888884,0.5555555555555556,0.7222222222222222
