"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Borna Gojo","11","0.39","0.19","60.9","29","47.6","36.3","37.7","77.3"
"Christian Garin","11","0.39","0.16","60.8","30.4","48","37.3","27.1","80.5"
"Joao Fonseca","12","0.4","0.18","60.8","31.5","47.8","37.9","35.2","75.2"
"Sebastian Korda","10","0.27","0.23","60.8","29.9","46","36.2","44.6","79.2"
"Chun Hsin Tseng","19","0.26","0.19","60.7","31.3","53.1","39.9","40.1","73.2"
"Kamil Majchrzak","14","0.53","0.29","60.7","29.5","51.7","38.2","38.5","76.9"
"Dusan Lajovic","17","0.31","0.21","60.7","32.7","50.8","39.9","40.3","73.6"
"Federico Coria","15","0.29","0.34","60.6","33.8","53.8","41.7","42.2","69.5"
"Alejandro Tabilo","9","0.5","0.19","60.6","27.9","47.7","35.7","39.4","78.3"
"Terence Atmane","4","0.35","0.17","60.4","29.6","45.3","35.8","43.5","78.3"
"Jan-Lennard Struff","12","0.64","0.32","60.4","25","51.6","35.6","30.1","83.5"
"Juan Manuel Cerundolo","30","0.3","0.26","60.4","32.1","52.6","40.2","44.3","71.8"
"Reilly Opelka","8","0.22","0.2","60.2","24.1","41","30.8","25.5","87"
"Matteo Arnaldi","13","0.24","0.2","60.2","30.6","45.3","36.4","40.7","79"
"Jack Draper","16","0.3","0.21","60.2","33.2","54.8","41.8","36.1","70.3"
"Karen Khachanov","15","0.36","0.17","60.1","30.7","56","40.8","44.2","71.4"
"Vit Kopriva","17","0.33","0.25","60.1","33.5","51.9","40.8","44.5","70.3"
"Tomas Martin Etcheverry","20","0.36","0.2","60","28.8","47.4","36.2","33.6","81.8"
"Yannick Hanfmann","20","0.46","0.26","59.9","32.4","49.2","39.1","36.2","74.8"
"Emilio Nava","4","0.16","0.22","59.8","30","44.1","35.7","37","81.8"
"Elias Ymer","6","0.34","0.14","59.8","35.4","50.2","41.4","30.5","75.3"
"Pol Martin Tiffon","3","0.38","0.22","59.5","19","55.7","33.8","35.7","84.4"
"Jaime Faria","14","0.39","0.23","59.5","26.3","46.2","34.4","29.6","83.1"
"Tomas Machac","7","0.41","0.18","59.4","29.5","50","37.8","47.6","75.9"
"Filip Cristian Jianu","5","0.24","0.24","59.4","38.2","49.4","42.7","58.8","66.1"
"Jacob Fearnley","16","0.35","0.21","59.3","34.2","50.1","40.7","41.9","69.1"
"Taylor Fritz","7","0.39","0.21","59.3","22.4","48.3","32.9","30","85.4"
"Facundo Bagnis","6","0.56","0.36","59.3","30.3","51.5","38.9","40","75.3"
"Jordan Thompson","5","0.6","0.22","59.2","28.7","44","35","30.2","80.6"
"Jenson Brooksby","11","0.22","0.26","59","32.6","52.8","40.9","47.1","71.3"
"Jaume Munar","14","0.21","0.19","59","33.5","50.7","40.5","41.8","70.2"
"Alexander Shevchenko","22","0.31","0.25","58.9","32","49.6","39.2","41.6","73.2"
"James Duckworth","3","0.7","0.48","58.8","20","42.9","29.4","11.1","97"
"Henrique Rocha","9","0.38","0.33","58.7","28.1","48","36.3","36","80"
"Lukas Neumayer","3","0.39","0.29","58.6","34.1","54","42.4","35.5","64.5"
"Frances Tiafoe","18","0.51","0.26","58.6","29.8","53.5","39.6","38","75.7"
"Valentin Vacherot","7","0.28","0.28","58.6","34.5","53.1","42.2","40.7","66.2"
"Elmer Moller","9","0.32","0.26","58.5","35.7","53.9","43.3","42.3","69.4"
"Roberto Carballes Baena","11","0.48","0.25","58.5","27.2","55.1","38.8","40","75.5"
"Arthur Cazaux","11","0.49","0.27","58.3","26","41.7","32.5","33.3","87.7"
"Stefano Napolitano","3","0.34","0.23","58.3","30.9","53.4","40.3","47.6","71.4"
"Benjamin Bonzi","6","0.38","0.3","58","26.8","54.2","38.3","57.6","75.3"
"Dominic Stephan Stricker","3","0.47","0.39","57.6","29.5","41.1","34.4","41.2","80.6"
"James Trotter","4","0.22","0.2","57.3","28","41.7","33.8","47.1","82.6"
"Norbert Gombos","4","0.56","0.56","57.2","30.3","54.3","40.6","50","72.1"
"Matteo Gigante","8","0.36","0.3","57.1","30.7","52.9","40.2","44.8","74.8"
"Borna Coric","6","0.49","0.23","57.1","28.6","47.7","36.8","42.9","78"
"Dino Prizmic","3","0.36","0.27","56.9","35","59.1","45.4","52","60.6"
"Richard Gasquet","6","0.33","0.32","56.3","29.7","56.9","41.6","43.1","68.2"
"Sascha Gueymard Wayenburg","4","0.3","0.13","55.4","29.8","42.2","35.3","33.3","82.6"
"Billy Harris","6","0.34","0.21","54.6","21.8","43.1","31.5","27.6","89"
"Pavel Kotov","4","0.49","0.14","54.6","28.8","48.4","37.7","37.9","78.4"
"Luca Nardi","7","0.18","0.15","54.5","22.9","47.2","33.9","38.7","83.3"
