Tour,Player,Match Stat Matches,Aces per Game,DFs per Game,Ace to DF ratio,1st Serve %,1st Serve W %,2nd Serve W %,Service Pts W %,BP save %,Service hold %,Opponent Aces per Game,Opponent DFs per Game,Opponent 1st Serve %,1st Return W %,2nd Return W %,Return Pts W %,BP W %,Opponent Hold %,Aces per Game (shrunk_k=20),DFs per Game (shrunk_k=20),Ace to DF ratio (shrunk_k=20),1st Serve % (shrunk_k=20),1st Serve W % (shrunk_k=20),2nd Serve W % (shrunk_k=20),Service Pts W % (shrunk_k=20),BP save % (shrunk_k=20),Service hold % (shrunk_k=20),Opponent Aces per Game (shrunk_k=20),Opponent DFs per Game (shrunk_k=20),Opponent 1st Serve % (shrunk_k=20),1st Return W % (shrunk_k=20),2nd Return W % (shrunk_k=20),Return Pts W % (shrunk_k=20),BP W % (shrunk_k=20),Opponent Hold % (shrunk_k=20)
WTA,Clara Burel,4,0.06,0.25,0.24,66.8,61.8,40.2,54.7,53.6,63.9,0.0,0.22,69.6,48.7,59.4,52.0,57.1,44.4,0.17580330330330332,0.34536411411411416,0.5506981981981981,63.48430930930931,61.19771021021021,43.10596846846847,54.52263513513514,52.88791291291292,60.98108108108107,0.18481606606606607,0.33067942942942946,63.91831831831831,38.930105105105106,55.374286786786776,44.96771771771771,47.57015765765766,61.527252252252254
WTA,Thaisa Grana Pedretti,4,0.08,0.33,0.24,67.6,61.5,44.6,56.0,54.5,62.5,0.21,0.51,63.4,37.5,52.6,43.0,48.0,69.2,0.17913663663663668,0.3586974474474474,0.5506981981981981,63.617642642642636,61.147710210210214,43.8393018018018,54.73930180180181,53.03791291291291,60.747747747747745,0.21981606606606607,0.3790127627627628,62.88498498498498,37.063438438438446,54.24095345345345,43.46771771771771,46.05349099099099,65.6605855855856
WTA,Alize Cornet,10,0.1,0.41,0.24,65.0,57.7,41.6,52.1,50.5,53.8,0.16,0.22,66.4,39.0,54.5,44.2,42.0,64.6,0.16597597597597602,0.3796246246246246,0.4885585585585585,63.547447447447446,59.951501501501504,42.991441441441445,53.69144144144145,51.996996996997,58.19819819819819,0.20118618618618622,0.3085435435435436,63.987987987987985,37.65075075075075,54.54609609609609,43.77417417417417,44.442792792792794,64.83513513513513
WTA,Daphnee Mpetshi Perricard,3,0.12,0.5,0.24,58.7,49.5,38.0,44.8,33.3,38.5,0.21,0.38,64.4,32.9,55.3,40.9,69.2,62.5,0.18866431649040347,0.38211907559733654,0.5642068155111633,62.28362710536624,59.5671758715237,42.94535840188014,53.223619271445365,50.20912651782217,57.54112808460634,0.2202428515471994,0.3563611437524482,62.993027810419115,36.44445750097925,54.664473168821,43.214140227183705,48.73407755581669,64.63278495887192
WTA,Harriet Dart,25,0.09,0.4,0.23,57.1,59.8,41.4,51.9,47.7,54.0,0.25,0.34,63.3,37.0,53.9,43.2,43.2,68.0,0.13842842842842845,0.3841941941941942,0.4001501501501501,59.64274274274275,60.367667667667675,42.416516516516516,53.04984984984985,49.94244244244244,56.84324324324324,0.23745745745745744,0.34569569569569575,63.06976976976976,36.989389389389395,54.197397397397395,43.36056056056056,44.29519519519519,66.64564564564564
WTA,Patricia Maria Tig,14,0.16,0.69,0.23,58.0,62.7,37.9,52.3,56.6,57.1,0.38,0.34,63.0,37.8,48.5,41.8,42.5,70.4,0.1829199788023318,0.49849231584525705,0.4551987281399046,60.835983041865404,61.74544250132485,41.304213036565976,53.586565977742445,54.332644409115,59.039586645469,0.28692898781134074,0.347538420773715,62.87175410704822,37.315368309485955,52.07008479067302,42.83603603603603,44.36128775834658,67.19570747217807
WTA,Elizabeth Mandlik,19,0.14,0.6,0.23,57.0,60.7,42.4,52.8,51.2,57.1,0.22,0.41,66.6,41.6,55.8,46.4,44.8,57.5,0.17023793023793027,0.4791984291984292,0.4263270963270963,59.98521598521599,60.893462693462695,43.06008316008316,53.66521136521136,51.992561792561794,58.79092169092169,0.2209124509124509,0.3806745206745207,64.64204204204204,39.22878262878263,55.168791868791864,44.94423654423654,45.24317394317394,61.32189882189883
WTA,Ekaterina Reyngold,6,0.11,0.47,0.23,63.1,62.2,41.2,54.5,45.7,60.9,0.12,0.4,63.3,42.1,62.7,49.7,50.7,47.7,0.17843381843381845,0.3887976437976438,0.5244906444906444,62.88551628551629,61.33634788634789,43.11320166320166,54.49012474012474,51.11961191961192,60.51330561330561,0.1982917532917533,0.36370408870408877,62.9015246015246,38.15855855855857,56.44549549549549,44.97789327789327,46.82629937629939,60.97130977130978
WTA,Angelina Voloshchuk,4,0.06,0.26,0.23,65.8,61.1,48.0,56.6,50.0,61.8,0.2,0.26,55.8,30.6,56.3,41.9,44.0,68.6,0.17580330330330332,0.3470307807807808,0.5490315315315314,63.317642642642646,61.08104354354355,44.40596846846847,54.83930180180181,52.28791291291291,60.63108108108108,0.2181493993993994,0.3373460960960961,61.61831831831832,35.91343843843844,54.85762012012012,43.284384384384374,45.38682432432432,65.5605855855856
WTA,Guiomar Maristany Zuleta De Reales,19,0.07,0.32,0.22,66.9,58.1,40.1,52.1,43.6,54.2,0.09,0.31,65.0,40.7,55.1,45.7,47.8,60.7,0.13613536613536617,0.34278817278817275,0.4214553014553014,64.80829290829291,59.62679602679602,41.93957033957034,53.32418572418573,48.28999768999769,57.37810117810118,0.15757911757911758,0.331956571956572,63.86255486255486,38.7903210903211,54.827766227766226,44.60321090321091,46.7047124047124,62.88087318087319
