tour,as_of_date,elo_rank,player,age,elo,unnamed_4,helo_rank,helo,celo_rank,celo,gelo_rank,gelo,unnamed_11,peak_elo,peak_month,unnamed_14,wta_rank,log_diff
WTA,2026-02-16,85,Emerson Jones,17.5,1744.3,,76.0,1712.4,213.0,1487.1,89.0,1602.8,,1755.0,2026-01,,144.0,-0.53
WTA,2026-02-16,86,Anhelina Kalinina,29.0,1741.1,,84.0,1700.1,74.0,1700.5,88.0,1603.8,,1890.8,2022-06,,191.0,-0.8
WTA,2026-02-16,87,Anna Bondar,28.6,1733.7,,115.0,1663.7,56.0,1729.6,166.0,1497.5,,1786.6,2022-05,,65.0,0.29
WTA,2026-02-16,88,Kaja Juvan,25.1,1733.1,,110.0,1666.5,65.0,1712.9,46.0,1682.2,,1825.6,2022-05,,92.0,-0.04
WTA,2026-02-16,89,Shuai Zhang,37.0,1732.6,,81.0,1704.3,131.0,1598.4,70.0,1635.6,,1873.3,2018-01,,85.0,0.05
WTA,2026-02-16,90,Francesca Jones,25.3,1732.3,,122.0,1645.8,54.0,1734.3,152.0,1516.3,,1798.6,2025-09,,72.0,0.22
WTA,2026-02-16,91,Kimberly Birrell,27.7,1731.3,,82.0,1701.5,189.0,1516.7,90.0,1601.2,,1804.5,2025-03,,94.0,-0.03
WTA,2026-02-16,92,Cristina Bucsa,28.1,1730.1,,86.0,1691.9,132.0,1595.1,92.0,1597.8,,1755.1,2025-12,,63.0,0.38
WTA,2026-02-16,93,Beatriz Haddad Maia,29.6,1729.5,,106.0,1668.4,64.0,1713.8,60.0,1658.2,,1945.0,2022-08,,66.0,0.34
WTA,2026-02-16,94,Kamilla Rakhimova,24.4,1728.3,,94.0,1676.0,94.0,1644.1,73.0,1632.7,,1753.6,2025-08,,91.0,0.03
WTA,2026-02-16,95,Renata Zarazua,28.3,1727.1,,90.0,1685.3,100.0,1637.4,102.0,1583.5,,1763.5,2026-01,,87.0,0.09
WTA,2026-02-16,96,Petra Marcinko,20.1,1727.1,,93.0,1680.9,72.0,1703.3,199.0,1464.1,,1759.7,2026-01,,69.0,0.33
WTA,2026-02-16,97,Antonia Ruzic,23.0,1723.2,,102.0,1670.8,122.0,1607.2,115.0,1570.5,,1789.8,2025-10,,67.0,0.37
WTA,2026-02-16,98,Yue Yuan,27.3,1722.3,,87.0,1690.7,117.0,1611.3,123.0,1555.5,,1869.7,2024-04,,122.0,-0.22
WTA,2026-02-16,99,Vera Zvonareva,41.4,1721.3,,89.0,1685.5,104.0,1629.3,65.0,1646.3,,2185.6,2009-03,,357.0,-1.28
WTA,2026-02-16,100,Rebecca Sramkova,29.3,1720.2,,103.0,1670.7,98.0,1639.1,100.0,1584.8,,1821.7,2024-11,,103.0,-0.03
WTA,2026-02-16,101,Greet Minnen,28.4,1718.5,,109.0,1667.1,130.0,1598.9,56.0,1666.1,,1795.8,2020-02,,129.0,-0.24
WTA,2026-02-16,102,Anastasija Sevastova,35.7,1718.5,,114.0,1664.3,77.0,1695.0,81.0,1619.5,,1998.3,2018-10,,183.0,-0.58
WTA,2026-02-16,103,Zeynep Sonmez,23.7,1715.4,,98.0,1674.5,126.0,1604.0,86.0,1607.6,,1769.8,2024-12,,84.0,0.2
WTA,2026-02-16,104,Storm Hunter,31.4,1713.7,,91.0,1684.7,140.0,1582.8,93.0,1597.3,,1792.2,2024-03,,232.0,-0.8
WTA,2026-02-16,105,Maja Chwalinska,24.3,1713.7,,95.0,1675.9,90.0,1668.3,136.0,1540.2,,1731.7,2026-02,,128.0,-0.2
WTA,2026-02-16,106,Ashlyn Krueger,21.7,1710.8,,105.0,1669.0,95.0,1641.5,108.0,1575.8,,1896.7,2025-02,,100.0,0.06
WTA,2026-02-16,107,Ella Seidel,20.9,1708.0,,97.0,1674.7,127.0,1604.0,107.0,1576.0,,1809.9,2025-10,,95.0,0.12
WTA,2026-02-16,108,Simona Waltert,25.1,1705.2,,123.0,1645.8,75.0,1695.2,165.0,1498.3,,1744.4,2025-10,,82.0,0.28
WTA,2026-02-16,109,Yafan Wang,31.4,1703.6,,100.0,1673.0,172.0,1538.6,137.0,1539.9,,1853.2,2019-03,,355.0,-1.18
WTA,2026-02-16,110,Linda Fruhvirtova,20.7,1703.2,,108.0,1667.7,169.0,1541.1,91.0,1598.7,,1764.1,2023-03,,118.0,-0.07
WTA,2026-02-16,111,Daria Snigur,23.8,1703.1,,101.0,1672.5,198.0,1508.0,103.0,1582.9,,1709.9,2026-02,,133.0,-0.18
WTA,2026-02-16,112,Dalma Galfi,27.4,1700.4,,135.0,1625.9,84.0,1676.0,75.0,1628.8,,1748.0,2025-10,,86.0,0.26
WTA,2026-02-16,113,Talia Gibson,21.6,1699.4,,99.0,1674.2,222.0,1476.5,98.0,1591.6,,1716.0,2026-02,,111.0,0.02
WTA,2026-02-16,114,Nikola Bartunkova,19.9,1699.1,,113.0,1664.5,112.0,1618.0,147.0,1524.6,,1722.2,2026-02,,105.0,0.08
WTA,2026-02-16,115,Rebeka Masarova,26.5,1698.1,,133.0,1631.3,82.0,1678.1,87.0,1606.5,,1817.5,2023-04,,117.0,-0.02
